"page","position","agency_name","categories"
4,6,"TessilHotel","Negozio di forniture per ristoranti, Negozio di biancheria da letto, Negozio di forniture per hotel, Negozio di lenzuola, Negozio di forniture per ristoranti, Negozio di biancheria da letto, Negozio di forniture per hotel, Negozio di lenzuola"
4,7,"Tramundi","Tour operator, Tour operator"
4,8,"Mooway","Agenzia viaggi, Agenzia viaggi"
4,9,"Eurocasa Holiday","Agenzia di affitto di appartamenti a breve termine, Agenzia di affitto di case vacanze, Agenzia di affitto di appartamenti a breve termine, Agenzia di affitto di case vacanze"
4,10,"Excursions Etna Guided Tour","Agenzia di escursioni turistiche, Tour operator, Agenzia di escursioni turistiche, Tour operator"
4,11,"Alpitour","Tour operator, Tour operator"
4,12,"Barbarhouse","Noleggio di appartamenti per vacanze, Tour operator, Alloggio di gruppo, Bed & Breakfast, Agenzia di affitto di case vacanze, Casa vacanze, Noleggio di appartamenti per vacanze, Tour operator, Alloggio di gruppo, Bed & Breakfast, Agenzia di affitto di case vacanze, Casa vacanze"
4,13,"*Perle di Puglia*","Agenzia di affitto di case vacanze, Agenzia di affitto di case vacanze"
4,14,"Eventiyoga.it","Centro salute, Centro yoga, Agenzia di viaggi sportivi, Centro salute e benessere, Insegnante di yoga, Servizio sistemazione per vacanze, Centro salute, Centro yoga, Agenzia di viaggi sportivi, Centro salute e benessere, Insegnante di yoga, Servizio sistemazione per vacanze"
4,15,"Xplore Canada.it","Tour operator, Tour operator"
4,16,"1Sticket","Agenzia viaggi, Agenzia viaggi"
4,17,"Maqa Shop","Fornitore di attrezzature per gelatai, Negozio di forniture per hotel, Fornitore di attrezzature per negozi, Negozio di imballaggi, Negozio di forniture per ristoranti, Negozio di forniture per uffici, Fornitore di attrezzature per gelatai, Negozio di forniture per hotel, Fornitore di attrezzature per negozi, Negozio di imballaggi, Negozio di forniture per ristoranti, Negozio di forniture per uffici"
4,18,"Musement","Agenzia viaggi, Agenzia viaggi"
4,19,"easy Parking - parcheggio ufficiale Aeroporti di Roma","Parcheggio, Aeroporto, Parcheggio coperto, Parcheggio per motociclette, Servizio di navetta per l'aeroporto, Parcheggio, Aeroporto, Parcheggio coperto, Parcheggio per motociclette, Servizio di navetta per l'aeroporto"
